"s"	"Torque"
0.22286400	36.356930
0.22386000	36.360213
0.22485600	36.356930
0.22585200	36.343795
0.22684800	36.340511
0.22784400	36.307675
0.22884000	36.307675
0.22983600	36.330660
0.23083200	36.310959
0.23182800	36.314242
0.23282400	36.287973
0.23382000	36.284689
0.23481600	36.261704
0.23581200	36.281406
0.23680800	36.278122
0.23780400	36.268271
0.23880000	36.264988
0.23979600	36.258420
0.24079200	36.228867
0.24178800	36.215733
0.24278400	36.219016
0.24378000	36.228867
0.24477600	36.199315
0.24577200	36.209166
0.24676800	36.225584
0.24776400	36.212449
0.24876000	36.209166
0.24975600	36.196031
0.25075200	36.219016
0.25174800	36.235435
0.25274400	36.225584
0.25374000	36.238718
0.25473600	36.235435
0.25573200	36.245286
0.25672800	36.238718
0.25772400	36.232151
0.25872000	36.238718
0.25971600	36.202598
0.26071200	36.251853
0.26170800	36.261704
0.26270400	36.222300
0.26370000	36.251853
0.26469600	36.261704
0.26569200	36.235435
0.26668800	36.242002
0.26768400	36.255137
0.26868000	36.294540
0.26967600	36.284689
0.27067200	36.284689
0.27166800	36.287973
0.27266400	36.314242
0.27366000	36.287973
0.27465600	36.310959
0.27565200	36.327377
0.27664800	36.333944
0.27764400	36.370064
0.27864000	36.360213
0.27963600	36.373348
0.28063200	36.360213
0.28162800	36.353646
0.28262400	36.356930
0.28362000	36.379915
0.28461600	36.350362
0.28561200	36.350362
0.28660800	36.356930
0.28760400	36.330660
0.28860000	36.330660
0.28959600	36.353646
0.29059200	36.304391
0.29158800	36.327377
0.29258400	36.294540
0.29358000	36.297824
0.29457600	36.297824
0.29557200	36.304391
0.29656800	36.251853
0.29756400	36.278122
0.29856000	36.222300
0.29955600	36.248569
0.30055200	36.245286
0.30154800	36.222300
0.30254400	36.202598
0.30354000	36.209166
0.30453600	36.179613
0.30553200	36.186180
0.30652800	36.173045
0.30752400	36.209166
0.30852000	36.215733
0.30951600	36.199315
0.31051200	36.163195
0.31150800	36.150060
0.31250400	36.133642
0.31350000	36.156627
0.31449600	36.143493
0.31549200	36.136925
0.31648800	36.163195
0.31748400	36.120507
0.31848000	36.113940
0.31947600	36.117223
0.32047200	36.117223
0.32146800	36.104089
0.32246400	36.104089
0.32346000	36.117223
0.32445600	36.127074
0.32545200	36.117223
0.32644800	36.094238
0.32744400	36.081103
0.32844000	36.084387
0.32943600	36.067969
0.33043200	36.081103
0.33142800	36.084387
0.33242400	36.048267
0.33342000	36.061402
0.33441600	36.058118
0.33541200	36.028565
0.33640800	36.031849
0.33740400	36.051551
0.33840000	36.058118
0.33939600	36.048267
0.34039200	36.058118
0.34138800	36.064685
0.34238400	36.061402
